Trimestre;Tipo de producto;Corredor;Empresa;Tipo de servicio;Ingresos por venta de billetes;Plazas Ofertadas;Plazas.km Ofertadas (Plazas.km);Tren.km (Tren.km);Viajeros;Viajeros.km (Viajeros.km)
2024T2;LD AV;Madrid-Alicante;Iryo;Comercial;;77448;37717176;81816;55072;25946405
2024T2;LD AV;Madrid-Alicante;OUIGO;Comercial;;240894;128716034;253712;235802;106321717
2024T2;LD AV;Madrid-Alicante;Renfe Viajeros;Comercial;;870031;413465007;1216160;650411;275880556
2024T2;LD AV;Madrid-Barcelona;Iryo;Comercial;;1000918;648397098;1406501;923182;536150392
2024T2;LD AV;Madrid-Barcelona;OUIGO;Comercial;;659667;411910329;565890;633083;363652017
2024T2;LD AV;Madrid-Barcelona;Renfe Viajeros;Comercial;;2109322;1300052657;3053638;2321630;1090558123
2024T2;LD AV;Madrid-Barcelona;Total;Comercial;161646097;;;;;
2024T2;LD AV;Madrid-Málaga/Granada;Iryo;Comercial;;503412;257746944;559104;375216;174900472
2024T2;LD AV;Madrid-Málaga/Granada;Renfe Viajeros;Comercial;;1027825;530525992;1302387;953116;415588164
2024T2;LD AV;Madrid-Sevilla;Iryo;Comercial;;436907;224661418;487335;381468;169356663
2024T2;LD AV;Madrid-Sevilla;Renfe Viajeros;Comercial;;1003498;465653242;1282515;969978;399247150
2024T2;LD AV;Madrid-Valencia;Iryo;Comercial;;461000;183478000;398000;345179;136613629
2024T2;LD AV;Madrid-Valencia;OUIGO;Comercial;;466441;185643518;326360;390149;154754821
2024T2;LD AV;Madrid-Valencia;Renfe Viajeros;Comercial;;953256;383373034;944924;765966;291943782
2024T2;LD AV;Madrid-Valencia;Total;Comercial;41591113;;;;;
2024T2;LD AV;Resto;Total;Comercial;;1294977;833115478;1676594;1270747;646672621
2024T2;LD Convencional;Total;Total;Comercial;;2560253;1307953941;4767880;2384379;936568149
2024T2;MD AV;Total;Total;OSP;;4148916;690979155;1993692;3506626;450082862
2024T2;MD Convencional;Total;Total;OSP;;14660355;2068063788;8095374;10154602;1107993606
2024T3;Cercanías;Total;Total;OSP;;110988360;5445809433;14930189;102865368;1828749910
2024T3;LD AV;Madrid-Alicante;Iryo;Comercial;;146598;71393226;154866;107709;51319129
2024T3;LD AV;Madrid-Alicante;OUIGO;Comercial;;306884;160097954;317484;280135;127786092
2024T3;LD AV;Madrid-Alicante;Renfe Viajeros;Comercial;;987520;451793257;1299907;796982;340836194
2024T3;LD AV;Madrid-Barcelona;Iryo;Comercial;;879414;577966567;1253724;817759;476220974
2024T3;LD AV;Madrid-Barcelona;OUIGO;Comercial;;541015;337927707;562212;537783;308009664
2024T3;LD AV;Madrid-Barcelona;Renfe Viajeros;Comercial;;1993890;1225470612;2680884;2197398;1024492602
2024T3;LD AV;Madrid-Barcelona;Total;Comercial;141283632;;;;;
2024T3;LD AV;Madrid-Málaga/Granada;Iryo;Comercial;;487738;249721856;541696;368720;182771008
2024T3;LD AV;Madrid-Málaga/Granada;Renfe Viajeros;Comercial;;1130439;584006572;1363530;1031325;467205177
2024T3;LD AV;Madrid-Sevilla;Iryo;Comercial;;407980;213871810;463930;336020;150759996
2024T3;LD AV;Madrid-Sevilla;Renfe Viajeros;Comercial;;908372;421567830;1179730;857764;353656768
2024T3;LD AV;Madrid-Valencia;Iryo;Comercial;;595612;237053576;514216;373267;147918351
2024T3;LD AV;Madrid-Valencia;OUIGO;Comercial;;466536;185681328;357802;392433;154940014
2024T3;LD AV;Madrid-Valencia;Renfe Viajeros;Comercial;;1021025;411094288;1032705;852823;327906461
2024T3;LD AV;Madrid-Valencia;Total;Comercial;44391509;;;;;
2024T3;LD AV;Resto;Total;Comercial;;1766032;1028968459;2106062;1729990;844118815
2024T3;LD Convencional;Total;Total;Comercial;;2628376;1326285001;4800643;2578384;1027433529
2024T3;MD AV;Total;Total;OSP;;4147418;678752344;2027086;3474432;431080897
2024T3;MD Convencional;Total;Total;OSP;;14083941;2063619389;8192223;11514779;1209426601
2024T4;Cercanías;Total;Total;OSP;;109798104;5479236532;14837302;118217647;2098359233
2024T4;LD AV;Madrid-Alicante;Iryo;Comercial;;35958;17511546;37986;22891;10656352
2024T4;LD AV;Madrid-Alicante;OUIGO;Comercial;;415688;215740227;424405;335400;152103120
2024T4;LD AV;Madrid-Alicante;Renfe Viajeros;Comercial;;915723;439623020;1235088;664395;280753034
2024T4;LD AV;Madrid-Barcelona;Iryo;Comercial;;1004935;661159101;1434185;924954;538578674
2024T4;LD AV;Madrid-Barcelona;OUIGO;Comercial;;576774;360221526;570870;561526;321454740
2024T4;LD AV;Madrid-Barcelona;Renfe Viajeros;Comercial;;2227522;1369264680;3008419;2282667;1045985918
2024T4;LD AV;Madrid-Barcelona;Total;Comercial;163811438;;;;;
2024T4;LD AV;Madrid-Málaga/Granada;Iryo;Comercial;;434195;224285360;486519;319204;152404690
2024T4;LD AV;Madrid-Málaga/Granada;Renfe Viajeros;Comercial;;1029696;532834710;1294338;923854;402225465
2024T4;LD AV;Madrid-Sevilla;Iryo;Comercial;;437509;229542428;497922;367701;164732711
2024T4;LD AV;Madrid-Sevilla;Renfe Viajeros;Comercial;;1008775;468593047;1299143;956114;386611732
2024T4;LD AV;Madrid-Valencia;Iryo;Comercial;;478057;190266686;412726;266950;105672888
2024T4;LD AV;Madrid-Valencia;OUIGO;Comercial;;375679;151880225;298749;285654;112589923
2024T4;LD AV;Madrid-Valencia;Renfe Viajeros;Comercial;;892173;360469431;849616;604816;228901006
2024T4;LD AV;Madrid-Valencia;Total;Comercial;28303827;;;;;
2024T4;LD AV;Resto;Total;Comercial;;1688004;1058966652;2118905;1588447;768181051
2024T4;LD Convencional;Total;Total;Comercial;;2543608;1285533008;4488560;2043443;791890329
2024T4;MD AV;Total;Total;OSP;;4387465;742447010;2036467;3149701;429225391
2024T4;MD Convencional;Total;Total;OSP;;14055634;2001217241;8120340;8506233;1083480348
2025T1;Cercanías;Total;Total;OSP;;110293466;5648907695;15163417;114135443;1730597115
2025T1;LD AV;Madrid-Alicante;Iryo;Comercial;;35958;17511546;37986;24112;11227291
2025T1;LD AV;Madrid-Alicante;OUIGO;Comercial;;402527;219412062;431187;350782;160417402
2025T1;LD AV;Madrid-Alicante;Renfe Viajeros;Comercial;;884608;414341625;1193200;601848;252772059
2025T1;LD AV;Madrid-Barcelona;Iryo;Comercial;;945363;637918955;1383772;859446;493462317
2025T1;LD AV;Madrid-Barcelona;OUIGO;Comercial;;552748;331278612;533562;537956;307018011
2025T1;LD AV;Madrid-Barcelona;Renfe Viajeros;Comercial;;2129172;1311901854;2880717;2147544;982831417
2025T1;LD AV;Madrid-Barcelona;Total;Comercial;136584809;;;;;
2025T1;LD AV;Madrid-Málaga/Granada;Iryo;Comercial;;360163;197650939;428744;261907;123372670
2025T1;LD AV;Madrid-Málaga/Granada;OUIGO;Comercial;;152575;78118400;153600;110493;49887459
2025T1;LD AV;Madrid-Málaga/Granada;Renfe Viajeros;Comercial;;1066910;551720638;1370738;874428;382449092
2025T1;LD AV;Madrid-Sevilla;Iryo;Comercial;;428123;222613316;482892;338155;147630532
2025T1;LD AV;Madrid-Sevilla;OUIGO;Comercial;;218777;102825190;202100;157864;66462431
2025T1;LD AV;Madrid-Sevilla;Renfe Viajeros;Comercial;;1050937;488098578;1311007;893120;364565608
2025T1;LD AV;Madrid-Sevilla;Total;Comercial;47199779;;;;;
2025T1;LD AV;Madrid-Valencia;Iryo;Comercial;;601605;239438790;519390;343926;136051584
2025T1;LD AV;Madrid-Valencia;OUIGO;Comercial;;417555;179579133;352913;356497;141236797
2025T1;LD AV;Madrid-Valencia;Renfe Viajeros;Comercial;;1052055;419284114;1031725;701512;265866498
2025T1;LD AV;Madrid-Valencia;Total;Comercial;33823888;;;;;
2025T1;LD AV;Resto;Total;Comercial;;1828283;1149839367;2316525;1632675;777224671
2025T1;LD Convencional;Total;Total;Comercial;;2434506;1237885350;4463755;1901960;733403429
2025T1;MD AV;Total;Total;OSP;;4204441;682022772;2046550;3357195;431042382
2025T1;MD Convencional;Total;Total;OSP;;14380971;1990882644;8015502;8171558;860900639
2025T2;Cercanías;Total;Total;OSP;;108468667;5541082890;14921079;118087578;1780433416
