Mes;Empresa;Tipo de servicio;Tipo de producto;Trayecto;Precio (€)
2023-09;OUIGO;Comercial;LD AV;Madrid-Barcelona;37,51
2023-09;OUIGO;Comercial;LD AV;Madrid-Valencia;19,22
2023-09;Renfe-AVE;Comercial;LD AV;Madrid-Alicante;52,14
2023-09;Renfe-AVE;Comercial;LD AV;Madrid-Barcelona;68,35
2023-09;Renfe-AVE;Comercial;LD AV;Madrid-Málaga;51,44
2023-09;Renfe-AVE;Comercial;LD AV;Madrid-Sevilla;58,3
2023-09;Renfe-AVE;Comercial;LD AV;Madrid-Valencia;33,59
2023-09;Renfe-AVLO;Comercial;LD AV;Madrid-Alicante;23,54
2023-09;Renfe-AVLO;Comercial;LD AV;Madrid-Barcelona;40,45
2023-09;Renfe-AVLO;Comercial;LD AV;Madrid-Málaga;45,45
2023-09;Renfe-AVLO;Comercial;LD AV;Madrid-Sevilla;32,96
2023-09;Renfe-AVLO;Comercial;LD AV;Madrid-Valencia;18,68
2023-09;Total;Comercial;LD AV;Madrid-Alicante;42,1
2023-09;Total;Comercial;LD AV;Madrid-Barcelona;52,11
2023-09;Total;Comercial;LD AV;Madrid-Málaga;48,79
2023-09;Total;Comercial;LD AV;Madrid-Sevilla;50,31
2023-09;Total;Comercial;LD AV;Madrid-Valencia;25,62
2023-10;Iryo;Comercial;LD AV;Madrid-Alicante;33,04
2023-10;Iryo;Comercial;LD AV;Madrid-Barcelona;40,09
2023-10;Iryo;Comercial;LD AV;Madrid-Málaga;40,03
2023-10;Iryo;Comercial;LD AV;Madrid-Sevilla;43,54
2023-10;Iryo;Comercial;LD AV;Madrid-Valencia;24,15
2023-10;OUIGO;Comercial;LD AV;Madrid-Alicante;25,34
2023-10;OUIGO;Comercial;LD AV;Madrid-Barcelona;37,31
2023-10;OUIGO;Comercial;LD AV;Madrid-Valencia;21,66
2023-10;Renfe-AVE;Comercial;LD AV;Madrid-Alicante;47,51
2023-10;Renfe-AVE;Comercial;LD AV;Madrid-Barcelona;65,02
2023-10;Renfe-AVE;Comercial;LD AV;Madrid-Málaga;51,99
2023-10;Renfe-AVE;Comercial;LD AV;Madrid-Sevilla;59,24
2023-10;Renfe-AVE;Comercial;LD AV;Madrid-Valencia;35,58
2023-10;Renfe-AVLO;Comercial;LD AV;Madrid-Alicante;24,29
2023-10;Renfe-AVLO;Comercial;LD AV;Madrid-Barcelona;42,05
2023-10;Renfe-AVLO;Comercial;LD AV;Madrid-Málaga;40,56
2023-10;Renfe-AVLO;Comercial;LD AV;Madrid-Sevilla;34,15
2023-10;Renfe-AVLO;Comercial;LD AV;Madrid-Valencia;21,84
2023-10;Total;Comercial;LD AV;Madrid-Alicante;40,7
2023-10;Total;Comercial;LD AV;Madrid-Barcelona;51
2023-10;Total;Comercial;LD AV;Madrid-Málaga;48,25
2023-10;Total;Comercial;LD AV;Madrid-Sevilla;52,94
2023-10;Total;Comercial;LD AV;Madrid-Valencia;28,64
2023-11;Iryo;Comercial;LD AV;Madrid-Alicante;32,27
2023-11;Iryo;Comercial;LD AV;Madrid-Barcelona;38,6
2023-11;Iryo;Comercial;LD AV;Madrid-Málaga;38,84
2023-11;Iryo;Comercial;LD AV;Madrid-Sevilla;42,99
2023-11;Iryo;Comercial;LD AV;Madrid-Valencia;23,85
2023-11;OUIGO;Comercial;LD AV;Madrid-Alicante;21,88
2023-11;OUIGO;Comercial;LD AV;Madrid-Barcelona;34,86
2023-11;OUIGO;Comercial;LD AV;Madrid-Valencia;21,26
2023-11;Renfe-AVE;Comercial;LD AV;Madrid-Alicante;41,78
2023-11;Renfe-AVE;Comercial;LD AV;Madrid-Barcelona;61,2
2023-11;Renfe-AVE;Comercial;LD AV;Madrid-Málaga;49,37
2023-11;Renfe-AVE;Comercial;LD AV;Madrid-Sevilla;55,44
2023-11;Renfe-AVE;Comercial;LD AV;Madrid-Valencia;35,98
2023-11;Renfe-AVLO;Comercial;LD AV;Madrid-Alicante;22,74
2023-11;Renfe-AVLO;Comercial;LD AV;Madrid-Barcelona;41,19
2023-11;Renfe-AVLO;Comercial;LD AV;Madrid-Málaga;39,28
2023-11;Renfe-AVLO;Comercial;LD AV;Madrid-Sevilla;36,79
2023-11;Renfe-AVLO;Comercial;LD AV;Madrid-Valencia;20,9
2023-11;Total;Comercial;LD AV;Madrid-Alicante;35,89
2023-11;Total;Comercial;LD AV;Madrid-Barcelona;48,43
2023-11;Total;Comercial;LD AV;Madrid-Málaga;46,17
2023-11;Total;Comercial;LD AV;Madrid-Sevilla;50,99
2023-11;Total;Comercial;LD AV;Madrid-Valencia;28,55
2023-12;Iryo;Comercial;LD AV;Madrid-Alicante;32,42
2023-12;Iryo;Comercial;LD AV;Madrid-Barcelona;50,83
2023-12;Iryo;Comercial;LD AV;Madrid-Málaga;49,35
2023-12;Iryo;Comercial;LD AV;Madrid-Sevilla;52,44
2023-12;Iryo;Comercial;LD AV;Madrid-Valencia;28,54
2023-12;OUIGO;Comercial;LD AV;Madrid-Alicante;30,81
2023-12;OUIGO;Comercial;LD AV;Madrid-Barcelona;43,13
2023-12;OUIGO;Comercial;LD AV;Madrid-Valencia;25,54
2023-12;Renfe-AVE;Comercial;LD AV;Madrid-Alicante;46,96
2023-12;Renfe-AVE;Comercial;LD AV;Madrid-Barcelona;67,07
2023-12;Renfe-AVE;Comercial;LD AV;Madrid-Málaga;62,05
2023-12;Renfe-AVE;Comercial;LD AV;Madrid-Sevilla;62,53
2023-12;Renfe-AVE;Comercial;LD AV;Madrid-Valencia;41,39
